Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위
1993,한화,1510.24,1500,59.85,0.17,102.57,,,,,,,,,,,,,,,,,,
1984,LG,1504.91,1500,29.34,0.17,102.51,,,,,,,,,,,,,,,,,,
2022,키움,1507.14,1500,44.33,0.16,102.42,,,,,,,,,,,,,,,,,,
1991,삼성,1508.09,1500,50.33,0.16,102.41,,,,,,,,,,,,,,,,,,
1985,롯데,1507.46,1500,46.64,0.16,102.4,,,,,,,,,,,,,,,,,,
2015,키움,1506.06,1499.52,41.55,0.16,102.36,,,,,,,,,,,,,,,,,,
2016,KIA,1506.57,1499.81,43.63,0.16,102.33,,,,,,,,,,,,,,,,,,
2025,NC,1505.27,1500,34.01,0.15,102.32,,,,,,,,,,,,,,,,,,
2008,삼성,1507.77,1501.35,41.64,0.15,102.31,,,,,,,,,,,,,,,,,,
2000,LG,1513.5,1506.19,48.57,0.15,102.26,,,,,,,,,,,,,,,,,,
1994,삼청태현,1504.9,1500,33.22,0.15,102.21,,,,,,,,,,,,,,,,,,
2016,키움,1505.94,1499.81,43.63,0.14,102.11,,,,,,,,,,,,,,,,,,
2002,LG,1507.98,1500.99,50.51,0.14,102.08,,,,,,,,,,,,,,,,,,
2012,두산,1504.78,1500.03,34.95,0.14,102.03,,,,,,,,,,,,,,,,,,
2020,롯데,1505.82,1500,43.86,0.13,101.99,,,,,,,,,,,,,,,,,,
1983,KIA,1503.68,1500,29.46,0.12,101.87,,,,,,,,,,,,,,,,,,
2022,삼성,1505.26,1500,44.33,0.12,101.78,,,,,,,,,,,,,,,,,,
2016,한화,1504.99,1499.81,43.63,0.12,101.78,,,,,,,,,,,,,,,,,,
1989,한화,1504.54,1500,39.6,0.11,101.72,,,,,,,,,,,,,,,,,,
2014,NC,1504.98,1498.65,56.16,0.11,101.69,,,,,,,,,,,,,,,,,,
2012,KIA,1503.97,1500.03,34.95,0.11,101.69,,,,,,,,,,,,,,,,,,
2018,삼성,1503.81,1499.97,34.06,0.11,101.69,,,,,,,,,,,,,,,,,,
2025,KT,1503.58,1500,34.01,0.11,101.58,,,,,,,,,,,,,,,,,,
1993,롯데,1504.94,1500,59.85,0.08,101.24,,,,,,,,,,,,,,,,,,
1985,두산,1503.82,1500,46.64,0.08,101.23,,,,,,,,,,,,,,,,,,
2013,SSG,1502.77,1500.01,40.41,0.07,101.03,,,,,,,,,,,,,,,,,,
2009,롯데,1503.64,1500.54,50,0.06,100.93,,,,,,,,,,,,,,,,,,
2003,두산,1502.72,1500.4,51.12,0.05,100.68,,,,,,,,,,,,,,,,,,
1995,삼성,1501.95,1500,43.81,0.04,100.67,,,,,,,,,,,,,,,,,,
2025,SSG,1501.41,1500,34.01,0.04,100.62,,,,,,,,,,,,,,,,,,
2005,한화,1501.51,1500.06,43.28,0.03,100.5,,,,,,,,,,,,,,,,,,
2000,삼성,1507.32,1506.19,48.57,0.02,100.35,,,,,,,,,,,,,,,,,,
1990,삼청태현,1500.66,1500,57.17,0.01,100.17,,,,,,,,,,,,,,,,,,
1982,KIA,1500.47,1500,71.98,0.01,100.1,,,,,,,,,,,,,,,,,,
1993,LG,1500.1,1500,59.85,0,100.03,,,,,,,,,,,,,,,,,,
2011,KIA,1500.13,1500.09,41.44,0,100.01,,,,,,,,,,,,,,,,,,
1998,KIA,1499.75,1500,34.42,-0.01,99.89,,,,,,,,,,,,,,,,,,
2014,롯데,1498.24,1498.65,56.16,-0.01,99.89,,,,,,,,,,,,,,,,,,
1983,두산,1499.73,1500,29.46,-0.01,99.86,,,,,,,,,,,,,,,,,,
2017,SSG,1499.01,1499.92,46.58,-0.02,99.71,,,,,,,,,,,,,,,,,,
2022,KIA,1499.1,1500,44.33,-0.02,99.7,,,,,,,,,,,,,,,,,,
2008,한화,1500.01,1501.35,41.64,-0.03,99.52,,,,,,,,,,,,,,,,,,
1994,한화,1498.8,1500,33.22,-0.04,99.46,,,,,,,,,,,,,,,,,,
2003,한화,1498.55,1500.4,51.12,-0.04,99.46,,,,,,,,,,,,,,,,,,
1985,KIA,1497.86,1500,46.64,-0.05,99.31,,,,,,,,,,,,,,,,,,
2018,한화,1497.45,1499.97,34.06,-0.07,98.89,,,,,,,,,,,,,,,,,,
2011,두산,1496.99,1500.09,41.44,-0.07,98.88,,,,,,,,,,,,,,,,,,
2015,한화,1496.06,1499.52,41.55,-0.08,98.75,,,,,,,,,,,,,,,,,,
2018,롯데,1497.09,1499.97,34.06,-0.08,98.73,,,,,,,,,,,,,,,,,,
2014,두산,1493.11,1498.65,56.16,-0.1,98.52,,,,,,,,,,,,,,,,,,
2020,삼성,1495.29,1500,43.86,-0.11,98.39,,,,,,,,,,,,,,,,,,
2016,삼성,1494.94,1499.81,43.63,-0.11,98.33,,,,,,,,,,,,,,,,,,
1996,롯데,1495.17,1500,36.99,-0.13,98.04,,,,,,,,,,,,,,,,,,
2025,두산,1495.54,1500,34.01,-0.13,98.03,,,,,,,,,,,,,,,,,,
2025,KIA,1495.4,1500,34.01,-0.14,97.97,,,,,,,,,,,,,,,,,,
2007,삼성,1495.46,1500.01,31.95,-0.14,97.86,,,,,,,,,,,,,,,,,,
2012,롯데,1494.63,1500.03,34.95,-0.15,97.68,,,,,,,,,,,,,,,,,,
2015,SSG,1492.96,1499.52,41.55,-0.16,97.63,,,,,,,,,,,,,,,,,,
2009,삼성,1492.48,1500.54,50,-0.16,97.58,,,,,,,,,,,,,,,,,,
2002,두산,1492.48,1500.99,50.51,-0.17,97.47,,,,,,,,,,,,,,,,,,
2004,SSG,1493.73,1500.16,37.65,-0.17,97.44,,,,,,,,,,,,,,,,,,
2015,롯데,1491.74,1499.52,41.55,-0.19,97.19,,,,,,,,,,,,,,,,,,
2002,SSG,1490.43,1500.99,50.51,-0.21,96.86,,,,,,,,,,,,,,,,,,
1999,KIA,1486.24,1500,57.36,-0.24,96.4,,,,,,,,,,,,,,,,,,
2023,롯데,1491.35,1500,35.78,-0.24,96.37,,,,,,,,,,,,,,,,,,
1992,LG,1489.14,1500,42.9,-0.25,96.2,,,,,,,,,,,,,,,,,,
2006,SSG,1492.29,1500.03,30.2,-0.26,96.16,,,,,,,,,,,,,,,,,,
1992,두산,1488.85,1500,42.9,-0.26,96.1,,,,,,,,,,,,,,,,,,
2023,SSG,1490.36,1500,35.78,-0.27,95.96,,,,,,,,,,,,,,,,,,
2017,LG,1485.53,1499.92,46.58,-0.31,95.37,,,,,,,,,,,,,,,,,,
2003,SSG,1484.16,1500.4,51.12,-0.32,95.24,,,,,,,,,,,,,,,,,,
2024,SSG,1490.79,1500,28.21,-0.33,95.11,,,,,,,,,,,,,,,,,,
1986,롯데,1481.28,1500,56.38,-0.33,95.02,,,,,,,,,,,,,,,,,,
2010,KIA,1481.69,1500.22,45.24,-0.41,93.86,,,,,,,,,,,,,,,,,,
1998,쌍방울,1485.39,1500,34.42,-0.42,93.63,,,,,,,,,,,,,,,,,,
2016,SSG,1480.64,1499.81,43.63,-0.44,93.41,,,,,,,,,,,,,,,,,,
2002,한화,1477.61,1500.99,50.51,-0.46,93.06,,,,,,,,,,,,,,,,,,
1982,롯데,1466.36,1500,71.98,-0.47,92.99,,,,,,,,,,,,,,,,,,
2021,NC,1486.63,1500,28.56,-0.47,92.98,,,,,,,,,,,,,,,,,,
1984,KIA,1485.95,1500,29.34,-0.48,92.82,,,,,,,,,,,,,,,,,,
2017,키움,1477.42,1499.92,46.58,-0.48,92.76,,,,,,,,,,,,,,,,,,
2017,한화,1476.61,1499.92,46.58,-0.5,92.49,,,,,,,,,,,,,,,,,,
2013,NC,1479.64,1500.01,40.41,-0.5,92.44,,,,,,,,,,,,,,,,,,
1988,LG,1476.8,1500,45.81,-0.51,92.4,,,,,,,,,,,,,,,,,,
2020,KIA,1477.55,1500,43.86,-0.51,92.32,,,,,,,,,,,,,,,,,,
1987,두산,1483.43,1500,31.98,-0.52,92.23,,,,,,,,,,,,,,,,,,
2010,LG,1476.33,1500.22,45.24,-0.53,92.08,,,,,,,,,,,,,,,,,,
1999,LG,1469.21,1500,57.36,-0.54,91.95,,,,,,,,,,,,,,,,,,
2022,롯데,1474.59,1500,44.33,-0.57,91.4,,,,,,,,,,,,,,,,,,
1988,두산,1473.6,1500,45.81,-0.58,91.36,,,,,,,,,,,,,,,,,,
1991,쌍방울,1470.93,1500,50.33,-0.58,91.34,,,,,,,,,,,,,,,,,,
1997,두산,1472.13,1500,46.07,-0.6,90.93,,,,,,,,,,,,,,,,,,
1992,삼청태현,1473.54,1500,42.9,-0.62,90.75,,,,,,,,,,,,,,,,,,
2001,두산,1492.39,1502.47,15.69,-0.64,90.37,,,,,,,,,,,,,,,,,,
2007,롯데,1479.35,1500.01,31.95,-0.65,90.3,,,,,,,,,,,,,,,,,,
1991,두산,1466.28,1500,50.33,-0.67,89.95,,,,,,,,,,,,,,,,,,
2012,키움,1476.17,1500.03,34.95,-0.68,89.76,,,,,,,,,,,,,,,,,,
2000,KIA,1472.99,1506.19,48.57,-0.68,89.75,,,,,,,,,,,,,,,,,,
2021,롯데,1480.38,1500,28.56,-0.69,89.7,,,,,,,,,,,,,,,,,,
2009,키움,1465.98,1500.54,50,-0.69,89.63,,,,,,,,,,,,,,,,,,
1989,LG,1472.48,1500,39.6,-0.7,89.57,,,,,,,,,,,,,,,,,,
2005,롯데,1469.71,1500.06,43.28,-0.7,89.48,,,,,,,,,,,,,,,,,,
2001,KIA,1491.36,1502.47,15.69,-0.71,89.38,,,,,,,,,,,,,,,,,,
2017,삼성,1466.51,1499.92,46.58,-0.72,89.24,,,,,,,,,,,,,,,,,,
2008,KIA,1471.16,1501.35,41.64,-0.73,89.12,,,,,,,,,,,,,,,,,,
2007,LG,1476.58,1500.01,31.95,-0.73,89,,,,,,,,,,,,,,,,,,
2016,롯데,1467.49,1499.81,43.63,-0.74,88.89,,,,,,,,,,,,,,,,,,
2019,KIA,1464.58,1499.99,47.61,-0.74,88.85,,,,,,,,,,,,,,,,,,
1997,삼청태현,1465.53,1500,46.07,-0.75,88.78,,,,,,,,,,,,,,,,,,
2005,삼청태현,1467.31,1500.06,43.28,-0.76,88.65,,,,,,,,,,,,,,,,,,
2004,LG,1471.56,1500.16,37.65,-0.76,88.61,,,,,,,,,,,,,,,,,,
1985,LG,1464.23,1500,46.64,-0.77,88.49,,,,,,,,,,,,,,,,,,
2012,LG,1472.92,1500.03,34.95,-0.78,88.36,,,,,,,,,,,,,,,,,,
2019,삼성,1462.55,1499.99,47.61,-0.79,88.2,,,,,,,,,,,,,,,,,,
2019,한화,1462.43,1499.99,47.61,-0.79,88.17,,,,,,,,,,,,,,,,,,
1994,롯데,1473.7,1500,33.22,-0.79,88.12,,,,,,,,,,,,,,,,,,
2024,한화,1477.62,1500,28.21,-0.79,88.1,,,,,,,,,,,,,,,,,,
2001,한화,1489.99,1502.47,15.69,-0.8,88.07,,,,,,,,,,,,,,,,,,
1983,삼청태현,1476.52,1500,29.46,-0.8,88.04,,,,,,,,,,,,,,,,,,
1989,두산,1468.28,1500,39.6,-0.8,87.98,,,,,,,,,,,,,,,,,,
2003,LG,1459.23,1500.4,51.12,-0.81,87.92,,,,,,,,,,,,,,,,,,
1997,한화,1462.52,1500,46.07,-0.81,87.8,,,,,,,,,,,,,,,,,,
2011,한화,1466.07,1500.09,41.44,-0.82,87.69,,,,,,,,,,,,,,,,,,
2005,LG,1464.44,1500.06,43.28,-0.82,87.65,,,,,,,,,,,,,,,,,,
1987,한화,1473.6,1500,31.98,-0.83,87.62,,,,,,,,,,,,,,,,,,
2007,삼청태현,1472.99,1500.01,31.95,-0.85,87.31,,,,,,,,,,,,,,,,,,
1995,삼청태현,1462.63,1500,43.81,-0.85,87.21,,,,,,,,,,,,,,,,,,
1996,LG,1468.25,1500,36.99,-0.86,87.13,,,,,,,,,,,,,,,,,,
2023,삼성,1468.72,1500,35.78,-0.87,86.88,,,,,,,,,,,,,,,,,,
2018,KT,1469.37,1499.97,34.06,-0.9,86.52,,,,,,,,,,,,,,,,,,
1991,삼청태현,1454.38,1500,50.33,-0.91,86.4,,,,,,,,,,,,,,,,,,
2010,키움,1458.56,1500.22,45.24,-0.92,86.19,,,,,,,,,,,,,,,,,,
2025,롯데,1468.44,1500,34.01,-0.93,86.08,,,,,,,,,,,,,,,,,,
1995,한화,1459.09,1500,43.81,-0.93,85.99,,,,,,,,,,,,,,,,,,
2011,LG,1459.39,1500.09,41.44,-0.98,85.27,,,,,,,,,,,,,,,,,,
2015,KT,1457.63,1499.52,41.55,-1.01,84.88,,,,,,,,,,,,,,,,,,
2008,키움,1459.3,1501.35,41.64,-1.01,84.85,,,,,,,,,,,,,,,,,,
2004,롯데,1461.94,1500.16,37.65,-1.02,84.77,,,,,,,,,,,,,,,,,,
2018,LG,1465.25,1499.97,34.06,-1.02,84.71,,,,,,,,,,,,,,,,,,
2000,한화,1456.63,1506.19,48.57,-1.02,84.7,,,,,,,,,,,,,,,,,,
2001,SSG,1486.38,1502.47,15.69,-1.03,84.62,,,,,,,,,,,,,,,,,,
2007,KIA,1467.17,1500.01,31.95,-1.03,84.58,,,,,,,,,,,,,,,,,,
1994,두산,1465.82,1500,33.22,-1.03,84.57,,,,,,,,,,,,,,,,,,
2009,LG,1448.21,1500.54,50,-1.05,84.3,,,,,,,,,,,,,,,,,,
1994,쌍방울,1464.43,1500,33.22,-1.07,83.94,,,,,,,,,,,,,,,,,,
1991,LG,1445.84,1500,50.33,-1.08,83.86,,,,,,,,,,,,,,,,,,
1996,삼성,1460.01,1500,36.99,-1.08,83.79,,,,,,,,,,,,,,,,,,
2015,KIA,1453.7,1499.52,41.55,-1.1,83.46,,,,,,,,,,,,,,,,,,
2005,KIA,1451.58,1500.06,43.28,-1.12,83.2,,,,,,,,,,,,,,,,,,
1986,한화,1436.78,1500,56.38,-1.12,83.18,,,,,,,,,,,,,,,,,,
2006,롯데,1466.06,1500.03,30.2,-1.12,83.13,,,,,,,,,,,,,,,,,,
2022,두산,1449.54,1500,44.33,-1.14,82.92,,,,,,,,,,,,,,,,,,
2000,SSG,1450.75,1506.19,48.57,-1.14,82.88,,,,,,,,,,,,,,,,,,
1989,삼청태현,1454.18,1500,39.6,-1.16,82.64,,,,,,,,,,,,,,,,,,
1985,삼청태현,1445.61,1500,46.64,-1.17,82.51,,,,,,,,,,,,,,,,,,
2009,한화,1441.92,1500.54,50,-1.17,82.41,,,,,,,,,,,,,,,,,,
1998,한화,1459.12,1500,34.42,-1.19,82.18,,,,,,,,,,,,,,,,,,
1990,롯데,1431.17,1500,57.17,-1.2,81.94,,,,,,,,,,,,,,,,,,
2024,NC,1465.79,1500,28.21,-1.21,81.81,,,,,,,,,,,,,,,,,,
2021,KIA,1464.48,1500,28.56,-1.24,81.34,,,,,,,,,,,,,,,,,,
2015,LG,1447.38,1499.52,41.55,-1.25,81.18,,,,,,,,,,,,,,,,,,
2011,키움,1448.06,1500.09,41.44,-1.26,81.17,,,,,,,,,,,,,,,,,,
1996,두산,1453.32,1500,36.99,-1.26,81.07,,,,,,,,,,,,,,,,,,
2012,한화,1455.63,1500.03,34.95,-1.27,80.94,,,,,,,,,,,,,,,,,,
2023,키움,1452.87,1500,35.78,-1.32,80.24,,,,,,,,,,,,,,,,,,
2020,SSG,1441.9,1500,43.86,-1.32,80.13,,,,,,,,,,,,,,,,,,
1983,롯데,1460.27,1500,29.46,-1.35,79.77,,,,,,,,,,,,,,,,,,
2023,한화,1451.69,1500,35.78,-1.35,79.75,,,,,,,,,,,,,,,,,,
1993,쌍방울,1418.94,1500,59.85,-1.35,79.68,,,,,,,,,,,,,,,,,,
1998,롯데,1453.29,1500,34.42,-1.36,79.64,,,,,,,,,,,,,,,,,,
2014,KIA,1421.65,1498.65,56.16,-1.37,79.43,,,,,,,,,,,,,,,,,,
2008,LG,1443.77,1501.35,41.64,-1.38,79.25,,,,,,,,,,,,,,,,,,
1987,삼청태현,1453.78,1500,31.98,-1.45,78.32,,,,,,,,,,,,,,,,,,
2004,한화,1445.69,1500.16,37.65,-1.45,78.3,,,,,,,,,,,,,,,,,,
1997,롯데,1432.99,1500,46.07,-1.45,78.19,,,,,,,,,,,,,,,,,,
1986,삼청태현,1416.73,1500,56.38,-1.48,77.85,,,,,,,,,,,,,,,,,,
2018,NC,1448.52,1499.97,34.06,-1.51,77.34,,,,,,,,,,,,,,,,,,
1990,두산,1412.33,1500,57.17,-1.53,77,,,,,,,,,,,,,,,,,,
1995,쌍방울,1432.29,1500,43.81,-1.55,76.82,,,,,,,,,,,,,,,,,,
2010,한화,1429.83,1500.22,45.24,-1.56,76.66,,,,,,,,,,,,,,,,,,
1988,삼청태현,1428.05,1500,45.81,-1.57,76.44,,,,,,,,,,,,,,,,,,
1993,삼청태현,1405.14,1500,59.85,-1.58,76.23,,,,,,,,,,,,,,,,,,
1984,삼청태현,1451.03,1500,29.34,-1.67,74.97,,,,,,,,,,,,,,,,,,
2024,키움,1451.03,1500,28.21,-1.74,73.96,,,,,,,,,,,,,,,,,,
1982,삼청태현,1374.9,1500,71.98,-1.74,73.93,,,,,,,,,,,,,,,,,,
2019,롯데,1417.16,1499.99,47.61,-1.74,73.9,,,,,,,,,,,,,,,,,,
2013,KIA,1428.74,1500.01,40.41,-1.76,73.55,,,,,,,,,,,,,,,,,,
2003,롯데,1408.69,1500.4,51.12,-1.79,73.09,,,,,,,,,,,,,,,,,,
2017,KT,1415.47,1499.92,46.58,-1.81,72.81,,,,,,,,,,,,,,,,,,
2006,LG,1445.08,1500.03,30.2,-1.82,72.71,,,,,,,,,,,,,,,,,,
2014,한화,1396.02,1498.65,56.16,-1.83,72.59,,,,,,,,,,,,,,,,,,
2013,한화,1424.79,1500.01,40.41,-1.86,72.08,,,,,,,,,,,,,,,,,,
1992,쌍방울,1419.54,1500,42.9,-1.88,71.87,,,,,,,,,,,,,,,,,,
2021,한화,1446.24,1500,28.56,-1.88,71.76,,,,,,,,,,,,,,,,,,
2002,롯데,1403.79,1500.99,50.51,-1.92,71.14,,,,,,,,,,,,,,,,,,
2022,한화,1414.22,1500,44.33,-1.94,70.97,,,,,,,,,,,,,,,,,,
2020,한화,1412.54,1500,43.86,-1.99,70.09,,,,,,,,,,,,,,,,,,
2016,KT,1410.11,1499.81,43.63,-2.06,69.16,,,,,,,,,,,,,,,,,,
2025,키움,1429.51,1500,34.01,-2.07,68.91,,,,,,,,,,,,,,,,,,
1999,쌍방울,1376.26,1500,57.36,-2.16,67.64,,,,,,,,,,,,,,,,,,
